Title,ExperienceLevel,ExperienceLevel_Category,YearsOfExperience,YearsOfExperience_Min,All_Skills,,,
Ethical Hacker,Experienced,Mid-Level,3+,3,Penetration Testing; Vulnerability Assessment; Web Application Security Testing; Network Security; Cryptography; Malware Analysis; Reverse Engineering; Python; C++; JavaScript; Bash; PowerShell; Nmap; Burp Suite; Metasploit; SQLMap; Wireshark; Active Directory Security; Risk Assessment,,,
Ethical Hacker,Experienced,Senior-Level,5+,5,Penetration Testing; Advanced Network Security; Web Application Security; Cryptography; Malware Analysis; Reverse Engineering; Threat Modeling; Security Frameworks; Compliance Frameworks; Python; C++; JavaScript; Bash; PowerShell; Nmap; Burp Suite; Metasploit; SQLMap; Wireshark; Active Directory Security; Security Architecture; Project Management,,,
Fintech Engineer,Fresher,Entry-Level,0-1,0,Python; SQL; JavaScript; API Integration; AWS; Azure; Machine Learning; Data Analysis; Blockchain; Cybersecurity Fundamentals; Financial Domain Knowledge; Cloud Computing; Problem Solving; Collaboration,,,
Fintech Engineer,Experienced,Mid-Level,3+,3,Python; SQL; JavaScript; API Architecture; Microservices Architecture; AWS; Azure; Blockchain; Smart Contracts; Machine Learning; Predictive Modeling; Financial Modeling; Quantitative Analysis; DevOps; Cybersecurity Compliance; Financial Data Analysis; Stakeholder Management,,,
Fintech Engineer,Experienced,Senior-Level,5+,5,API Architecture; Microservices Architecture; Blockchain; Smart Contracts; AWS; Azure; DevOps Automation; Cybersecurity Architecture; Machine Learning; Predictive Analytics; Financial Modeling; Quantitative Modeling; Financial Data Engineering; Strategic Planning; Project Management; Team Leadership,,,
Frontend Developer,Entry-Level,Entry-Level,0–1 year,0,HTML; CSS; JavaScript; Git; React; Angular; Vue.js; Bootstrap; Tailwind CSS; Browser Developer Tools,,,
Frontend Developer,Mid-Senior Level,Mid-Level,3–6 years,3,HTML; CSS; JavaScript; React; Redux; Angular; Vue.js; Git; CI/CD; Lazy Loading; Performance Optimization; Unit Testing; Integration Testing; End-to-End Testing,,,
Frontend Developer,Senior-Level,Senior-Level,5+ years,5,HTML; CSS; JavaScript; React; Redux; Angular; Vue.js; CI/CD; Performance Optimization; Lazy Loading; Testing Automation; Unit Testing; Integration Testing; End-to-End Testing; Frontend Architecture,,,
Full Stack Developer,Fresher,Entry-Level,0–1 year,0,HTML; CSS; JavaScript; React; Angular; Vue.js; Node.js; Python; Django; Flask; SQL; MySQL; PostgreSQL; MongoDB; Git; REST APIs; Docker; Agile,,,
Full Stack Developer,Experienced,Mid-Level,3–5 years,3,HTML; CSS; JavaScript; TypeScript; React; Redux; Angular; Vue.js; Node.js; Python; Django; Flask; SQL; MySQL; PostgreSQL; MongoDB; Docker; Kubernetes; REST APIs; Microservices; Git; CI/CD; Serverless; Web Security; Cloud Platforms; Agile,,,
Full Stack Developer,Experienced,Senior-Level,6,6,HTML; CSS; JavaScript; TypeScript; React; Angular; Vue.js; Node.js; Python; Django; Flask; SQL; MongoDB; PostgreSQL; REST APIs; Microservices Architecture; Docker; Kubernetes; CI/CD; Cloud Platforms; Web Security; System Design; Performance Optimization,,,
Game Developer,Fresher,Entry-Level,0-1,0,Unity; Unreal Engine; C#; C++; Java; Python; Game Mechanics; Physics; Collision Detection; Animation; DirectX; OpenGL; Git; Debugging,,,
Game Developer,Experienced,Mid-Level,3+,3,Unity; Unreal Engine; Godot; C#; C++; Java; Python; Gameplay Systems; AI Programming; Physics; Multiplayer Networking; Shader Programming; Performance Optimization; Debugging and Profiling; Cross-Platform Development; Testing Frameworks,,,
Game Developer,Experienced,Senior-Level,5+,5,Unity; Unreal Engine; C#; C++; Python; Gameplay Systems Architecture; AI Programming; Multiplayer Networking; Physics Simulation; Shader Programming; Graphics Optimization; Performance Profiling; Cross-Platform Development; Debugging and Profiling; System Design; Project Management,,,
Graphic Designer,Fresher,Entry-Level,0-1,0,Adobe Photoshop; Adobe Illustrator; Adobe InDesign; Figma; Adobe XD; After Effects; Color Theory; Typography; Web Design; Motion Graphics; HTML; CSS; Creativity; Communication; Time Management,,,
Graphic Designer,Mid-Level,Mid-Level,03-Jun,3,Adobe Photoshop; Adobe Illustrator; Adobe InDesign; Figma; Adobe XD; After Effects; Motion Graphics; Color Theory; Typography; Web Design; Mobile Design; UI Design; Brand Design; Collaboration,,,
Graphic Designer,Experienced,Senior-Level,05-Oct,5,Adobe Photoshop; Adobe Illustrator; Adobe InDesign; Figma; Adobe XD; After Effects; Motion Graphics; Typography; Color Theory; 3D Design; AR/VR Design; Visual Design Strategy; Brand Identity Design; Creative Direction,,,
Hybrid Cloud Architect,Experienced,Senior-Level,8,8,AWS; Azure; GCP; Hybrid Cloud Architecture; Multi-Cloud Architecture; Cloud Networking; Terraform; Infrastructure as Code; Kubernetes; DevOps Automation; Python; Cloud Security; System Design; Networking Architecture,,,
Incident Response Analyst,Fresher,Entry-Level,1,1,Incident Response; Security Monitoring; SIEM Tools; Log Analysis; Network Security; Malware Analysis; Vulnerability Assessment; Digital Forensics; Splunk; Wireshark,,,
Incident Response Analyst,Experienced,Senior-Level,05-Sep,5,Incident Response; Digital Forensics; Malware Analysis; Threat Hunting; Threat Intelligence; SIEM Architecture; Splunk; QRadar; Security Automation; Risk Management; Security Governance,,,
Incident Response Analyst,Experienced,Mid-Level,2,2,Incident Response; Threat Hunting; Malware Analysis; Digital Forensics; SIEM Tools; Splunk; QRadar; Log Analysis; Network Security; Vulnerability Management; Threat Intelligence,,,
Information Security Analyst,Fresher,Entry-Level,0-1,0,Network Security; Firewall Management; Vulnerability Assessment; Nessus; Snort; Python; SIEM Tools; Security Monitoring; Incident Response; Compliance Fundamentals,,,
Information Security Analyst,Experienced,Mid-Level,03-May,3,Incident Response; Threat Intelligence; Vulnerability Management; SIEM Tools; Splunk; QRadar; Network Security; Python; Security Monitoring; Risk Assessment,,,
Information Security Analyst,Experienced,Senior-Level,6,6,Incident Response; Threat Intelligence; Vulnerability Management; Security Architecture; SIEM Tools; Splunk; QRadar; Risk Management; Compliance Frameworks; Security Governance,,,
Interaction Designer,Fresher,Entry-Level,0-1,0,Figma; Adobe XD; Sketch; Prototyping; User Research; Typography; Wireframing; Interaction Design Principles,,,
Interaction Designer,Experienced,Mid-Level,03-Jan,3,Figma; Adobe XD; Sketch; Prototyping; Wireframing; User Flows; Interaction Design; User Research; Usability Testing; Micro-Interactions; Design Systems,,,
Interaction Designer,Experienced,Senior-Level,06-Aug,6,Figma; Adobe XD; Principle; After Effects; Interaction Design; Micro-Interactions; Prototyping; Design Systems; Usability Testing; UX Strategy; User Journey Mapping; Design Leadership,,,
IoT Engineer,Fresher,Entry-Level,0-1,0,C; C++; Python; Java; Embedded Systems; Embedded Firmware; Sensor Integration; Actuator Integration; MQTT; CoAP; Zigbee; Bluetooth; LoRa; TCP/IP; IPv6; AWS IoT; Azure IoT; GCP IoT; Edge Computing,,,
IoT Engineer,Experienced,Mid-Level,3+,3,C; C++; Python; Java; Embedded Systems; Embedded Firmware; Sensor Integration; MQTT; CoAP; LoRaWAN; NB-IoT; TCP/IP; IPv6; Edge Computing; IoT Architecture; AWS IoT; Azure IoT; GCP IoT; CI/CD; Network Security; Real-Time Data Analytics; Machine Learning Integration,,,
IoT Engineer,Experienced,Senior-Level,5+,5,IoT Architecture; Embedded Systems; Embedded Firmware; Sensor Fusion; Edge Computing; MQTT; CoAP; LoRaWAN; NB-IoT; TCP/IP; Network Security; AWS IoT; Azure IoT; GCP IoT; CI/CD; Real-Time Analytics; Machine Learning; Data Pipelines; System Design; Project Management,,,
Java Developer,Fresher,Entry-Level,0,0,Java; OOP; Java Collections; Java I/O; Exception Handling; Multithreading; JDBC; SQL; MySQL; PostgreSQL; Servlets; JSP; Spring; Spring Boot; Hibernate; REST APIs; Git; Maven; Gradle; HTML; CSS; JavaScript; JUnit; Docker,,,
Java Developer,Experienced,Mid-Level,3,3,Java; Spring Boot; Hibernate; JPA; REST APIs; Microservices; SQL; Kafka; Docker; Kubernetes; CI/CD; Jenkins; Maven; Gradle; JUnit; Mockito; Selenium; JVM Internals; Performance Tuning; Debugging; Git; Agile,,,
Java Developer,Experienced,Senior-Level,5,5,Java; Spring Boot; Microservices Architecture; REST APIs; SOAP APIs; SQL; NoSQL; MongoDB; Cassandra; System Design; Performance Optimization; Database Tuning; Kafka; Docker; Kubernetes; CI/CD; Angular; React; Leadership,,,
JavaScript Developer,Fresher,Entry-Level,0-1,0,JavaScript; HTML; CSS; AJAX; JSON; React; Angular; Vue.js; Responsive Design; Git; REST APIs; Async Programming,,,
JavaScript Developer,Experienced,Mid-Level,3+,3,JavaScript; TypeScript; React; Angular; Vue.js; Node.js; Express.js; Redux; Vuex; REST APIs; GraphQL; Git; CI/CD; Docker; Webpack; Babel; npm; Yarn; Jest; Cypress; Mocha,,,
JavaScript Developer,Experienced,Senior-Level,5+,5,JavaScript; TypeScript; React; Angular; Vue.js; Node.js; Express.js; REST APIs; GraphQL; Redux; Vuex; CI/CD; Docker; Webpack; Babel; Performance Optimization; Testing Frameworks; System Design; Team Leadership,,,
Machine Learning Engineer,Fresher,Entry-Level,0-1,0,Python; R; SQL; Pandas; NumPy; Scikit-learn; TensorFlow; PyTorch; Keras; Machine Learning; Feature Engineering; Data Preprocessing; Statistics; Probability; Matplotlib; Seaborn; MySQL; Git; Java; Exploratory Data Analysis (EDA); Data Visualization,,,
Machine Learning Engineer,Mid-Senior,Mid-Level,03-Jun,3,Python; R; SQL; Java; Scala; Machine Learning; Deep Learning; NLP; Computer Vision; Reinforcement Learning; TensorFlow; PyTorch; Keras; Scikit-learn; ONNX; Feature Engineering; ETL Pipelines; Hadoop; Spark; MLOps; CI/CD; Model Monitoring; Cloud Platforms,,,
Machine Learning Engineer,Senior,Senior-Level,05-Jul,5,"AWS; Advanced ML/DL: deep learning, NLP, reinforcement learning, computer vision, transfer learning; Advanced ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning; Big data: Hadoop, Spark; Big data: Spark, Hadoop; Classification; ETL automation; Ensemble methods; Feature engineering; Feature engineering, ETL automation; Feature engineering, ETL pipelines; Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced); Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced), ONNX; GCP; Hadoop; Java; Java/Scala; ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning; MLOps: CI/CD pipelines, model monitoring, cloud deployment (AWS/GCP/Azure); MLOps: CI/CD, model monitoring, cloud deployment (AWS/GCP/Azure); MLOps: CI/CD, monitoring, cloud deployment (AWS/GCP/Azure); NLP; PowerBI; Python; Python (advanced); R; Regression; Reinforcement Learning; SQL; Scala; Spark; Tableau",,,
Machine Learning Scientist,Senior,Senior-Level,5+,5,Python; R; SQL; Java; Scala; Machine Learning; Deep Learning; NLP; Computer Vision; Reinforcement Learning; TensorFlow; PyTorch; Scikit-learn; Feature Engineering; Ensemble Methods; ETL Pipelines; Hadoop; Spark; MLOps; CI/CD; Model Monitoring; AWS; GCP; System Design,,,
Market Research Analyst,Fresher,Entry-Level,0-1,0,Market Research; Data Collection; Data Analysis; Statistical Analysis; Regression Analysis; Consumer Behavior Analysis; Market Segmentation; Survey Design; Excel; Tableau; SPSS; Python; R; Data Visualization; Data Storytelling; Report Writing,,,
Market Research Analyst,Experienced,Mid-Level,03-Jan,3,Market Research; Data Analysis; Statistical Analysis; Regression Analysis; Consumer Insights; Competitive Analysis; Market Segmentation; Survey Design; Predictive Modeling; Excel; Power BI; Tableau; Python; R; SQL; Data Visualization; Report Writing,,,
Market Research Analyst,Experienced,Senior-Level,05-Oct,5,Market Research Strategy; Competitive Intelligence; Market Segmentation; Forecasting; Predictive Modeling; Advanced Analytics; Statistical Modeling; Business Strategy; Power BI; Tableau; Python; R; SQL; SAS; Data Visualization; Stakeholder Communication,,,
Marketing Specialist,Fresher,Entry-Level,0-1,0,Marketing; Content Marketing; Copywriting; Social Media Marketing; Social Media Management; SEO; SEM; PPC; Email Marketing; Google Analytics; Market Research; Marketing Analytics; Content Creation; Canva; Adobe Creative Suite; WordPress; Event Management,,,
Marketing Specialist,Experienced,Mid-Level,03-May,3,Marketing Strategy; Content Marketing; Social Media Marketing; SEO; SEM; PPC Campaigns; Email Marketing; Marketing Automation; Lead Generation; Lead Nurturing; Google Analytics; Tableau; Marketing Analytics; Brand Management; Multi-Channel Campaign Management; Budget Management,,,
Marketing Specialist,Experienced,Senior-Level,05-Jul,5,Marketing Strategy; Digital Marketing Strategy; SEO; SEM; PPC; Marketing Analytics; Google Analytics; Tableau; Marketing Automation; AI Marketing Tools; Brand Management; Budget and ROI Management; Lead Generation Strategy; Multi-Channel Campaign Management; Strategic Marketing Planning; Team Leadership,,,
Multi-Cloud Architect,Experienced,Senior-Level,9,9,AWS; Azure; GCP; Multi-Cloud Architecture; Cloud Networking; Kubernetes; Terraform; Infrastructure as Code; Microservices Architecture; DevOps Practices; Cloud Security; System Design; CI/CD,,,
Network Analyst,Fresher,Entry-Level,0-2,0,TCP/IP; DNS; Subnetting; Network Troubleshooting; Wireshark; Nagios; Network Monitoring; Routing Basics; Switching Basics,,,
Network Analyst,Experienced,Mid-Level,02-Jan,2,TCP/IP; DNS; Subnetting; Network Monitoring; Wireshark; Nagios; Routing; Switching; Firewall Management; Network Security; VPN; Performance Monitoring,,,
Network Analyst,Experienced,Senior-Level,06-Jan,6,TCP/IP; DNS; Network Architecture; Routing; Switching; Network Security; Firewall Management; VPN; Network Monitoring; Performance Optimization; Incident Management; Network Automation,,,
Network Automation Engineer,Fresher,Entry-Level,01-Jan,1,Python; Bash; Network Automation; Cisco IOS; Ansible; REST APIs; TCP/IP; Network Scripting; Git,,,
Network Automation Engineer,Experienced,Mid-Level,03-May,3,Python; Bash; Ansible; Network Automation; Cisco IOS; REST APIs; Network APIs; CI/CD; Network Configuration Management; TCP/IP; Git,,,
Network Automation Engineer,Experienced,Senior-Level,6,6,Python; Ansible; Network Automation; Cisco IOS; Network APIs; CI/CD; Infrastructure Automation; Network Architecture; Network Security; System Design; Performance Optimization,,,
Network Engineer,Fresher,Entry-Level,0-1,0,TCP/IP; Subnetting; Routing; Switching; LAN/WAN; DNS; DHCP; VPN; Cisco Networking; Network Monitoring; Network Troubleshooting; Wireshark; Nagios; SolarWinds; Firewall Management; Python; Bash; Incident Management,,,
Network Engineer,Experienced,Mid-Level,03-May,3,TCP/IP; BGP; OSPF; MPLS; LAN/WAN Design; QoS; Cisco Nexus; Cisco Prime; Network Monitoring; Nagios; SolarWinds; Python Automation; Network Security,,,
Network Engineer,Experienced,Senior-Level,05-Aug,5,Network Architecture; BGP; EIGRP; MPLS; SD-WAN; QoS; Cisco Nexus; Cisco ASA; Palo Alto Firewalls; F5 Load Balancer; VoIP; SIP; Zero Trust Security; Network Security; Project Management; Team Leadership,,,
Network Security Engineer,Fresher,Entry-Level,01-Jan,1,Network Security; Firewalls; IDS/IPS; VPN; TCP/IP; Network Monitoring; Wireshark; Cisco Networking; Security Monitoring; Vulnerability Assessment,,,
Network Security Engineer,Experienced,Mid-Level,04-Jun,4,Network Security; Cisco ASA; Firewalls; IDS/IPS; VPN; Cryptography; Network Monitoring; Vulnerability Management; Incident Response,,,
Network Security Engineer,Experienced,Senior-Level,6,6,Network Security Architecture; Firewalls; Cisco ASA; IDS/IPS; VPN; Cryptography; Zero Trust Security; Threat Detection; Network Security Automation; Security Governance,,,
Network Support Engineer,Fresher,Entry-Level,0-1,0,TCP/IP; Routing; OSPF; BGP; DNS; DHCP; VPN; Firewall Management; Network Troubleshooting; Network Monitoring; SolarWinds,,,
Operations Manager,Fresher,Entry-Level,0-1,0,Operations Management; Workflow Management; Team Coordination; Process Management; ERP Systems; CRM Systems; Data Reporting; Problem Solving; Communication; Collaboration; Time Management; Report Preparation,,,
Operations Manager,Mid-Level,Mid-Level,03-May,3,Operations Management; Process Improvement; Workflow Optimization; Budget Management; Resource Allocation; ERP Systems; CRM Systems; Data Analysis; KPI Monitoring; Scheduling; Cross-Functional Collaboration; Team Leadership,,,
Operations Manager,Experienced,Senior-Level,05-Aug,5,Operations Strategy; Process Optimization; Budget Management; Financial Reporting; Resource Optimization; ERP Systems; CRM Systems; KPI Monitoring; Lean Management; Six Sigma; Strategic Planning; Team Leadership; Staff Development,,,
Product Designer,Fresher,Entry-Level,0-1 Years,0,Figma; Sketch; Adobe XD; Adobe Illustrator; Adobe Photoshop; Prototyping; Wireframing; User Research; User Flows; Responsive Design; Design Systems; Information Architecture; Typography; Color Theory; A/B Testing; HTML; CSS; JavaScript,,,
Product Designer,Experienced,Mid-Level,3-5 Years,3,Figma; Sketch; Adobe XD; Adobe Illustrator; Adobe Creative Suite; Prototyping; Design Systems; Design Thinking; User Research; Usability Testing; A/B Testing; Accessibility; HTML; CSS; Data-Driven UX; Agile; Stakeholder Management; InVision; Marvel,,,
Product Designer,Experienced,Senior-Level,5+ Years,5,Product Design Strategy; Design Systems; Design Thinking; User Research; Usability Testing; A/B Testing; Data Analytics; Figma; Sketch; InVision; Agile; Stakeholder Management; Design Leadership; Cross-Functional Collaboration,,,
Product Manager,Fresher,Entry-Level,0-1,0,Product Management; Agile; Scrum; Kanban; Market Research; Competitive Analysis; Product Lifecycle; Product Strategy; Data Analysis; Excel; Google Analytics; UX Principles; Customer-Centric Design; Communication; Problem Solving; JIRA; Confluence; Figma,,,
Product Manager,Experienced,Mid-Level,03-May,3,Product Strategy; Product Roadmap; Agile; Scrum; Sprint Planning; Backlog Grooming; Stakeholder Management; Data Analysis; A/B Testing; Growth Metrics; Cross-Functional Leadership; UX Research; JIRA; Confluence; Tableau; Mixpanel; Figma,,,
Product Manager,Experienced,Senior-Level,05-Jul,5,Product Vision; Product Strategy; Product Roadmap; Agile Leadership; Data-Driven Decision Making; A/B Testing; Growth Optimization; Strategic Planning; Stakeholder Management; Cross-Functional Leadership; Performance Tracking; Resource Prioritization; JIRA; Confluence; Mixpanel; Tableau; Google Analytics,,,
Project Manager,Fresher,Entry-Level,0-1,0,Project Management; Agile; Scrum; Waterfall; Project Planning; Project Scheduling; Task Management; KPI Tracking; Budget Tracking; Resource Allocation; Reporting; Communication; Team Collaboration; Problem Solving; Jira; Trello; MS Project,,,
Project Manager,Experienced,Mid-Level,03-May,3,Project Planning; Project Scheduling; Budget Management; Resource Allocation; Risk Management; Change Management; Stakeholder Management; Cross-Functional Collaboration; Data-Driven Reporting; Team Leadership; Strategic Alignment; Jira; MS Project; Primavera,,,
Project Manager,Experienced,Senior-Level,05-Jul,5,Project Strategy; Project Lifecycle Management; Strategic Planning; Budget Management; Resource Allocation; Risk Management; Quality Management; Stakeholder Management; Cross-Functional Leadership; Data-Driven Decision Making; Performance Reporting; Team Leadership; Jira; MS Project; Primavera; Asana,,,
Python Developer,Fresher,Entry-Level,0-1,0,Python; OOP; Control Flow; Functions; Exception Handling; SQL; Git; Django; Flask; FastAPI; NumPy; Pandas; Matplotlib; MongoDB; HTML; CSS; JavaScript; PyTest; unittest,,,
Python Developer,Experienced,Mid-Level,3+,3,Python; Django; Flask; FastAPI; REST APIs; GraphQL; SQLAlchemy; Async Programming; Generators; Decorators; MySQL; PostgreSQL; NoSQL; Docker; Kubernetes; AWS; PyTest; Scikit-learn; TensorFlow; PyTorch,,,
Python Developer,Experienced,Senior-Level,5+,5,Python; Django; Flask; FastAPI; REST APIs; GraphQL; Async Programming; Metaprogramming; SQLAlchemy; MySQL; PostgreSQL; NoSQL; Docker; Kubernetes; AWS; Scikit-learn; TensorFlow; PyTorch; System Design; Project Management,,,
QA Engineer,Entry-Level,Entry-Level,0–1 year,0,Manual Testing; Functional Testing; Regression Testing; Black Box Testing; Selenium; Appium; Cucumber; Postman; SoapUI; JIRA; Bugzilla; TestRail; Test Documentation; Java; Python; JavaScript,,,
QA Engineer,Senior-Level,Mid-Level,4–8 years,4,Test Automation; Selenium; Appium; Cucumber; JUnit; TestNG; API Testing; Postman; SoapUI; Performance Testing; JMeter; CI/CD; Jenkins; GitLab CI/CD; Bamboo; JIRA; Bugzilla; TestRail; Java; Python; C#; JavaScript,,,
QA Engineer,Senior-Level,Senior-Level,5–9 years,5,Test Automation Strategy; Selenium; Appium; Cucumber; API Testing; Postman; SoapUI; Performance Testing; JMeter; LoadRunner; Security Testing; CI/CD; Jenkins; GitLab CI/CD; Bamboo; Test Management; JIRA; TestRail; Quality Engineering; Team Leadership,,,
Robotics Engineer,Fresher,Entry-Level,0-1,0,Python; C++; ROS; Arduino; Raspberry Pi; Embedded Systems; Sensor Integration; LIDAR Sensors; Ultrasonic Sensors; Infrared Sensors; Motor Control; PID Control; Kinematics; Dynamics; Linear Algebra; MATLAB; CAD; SolidWorks; AutoCAD,,,
Robotics Engineer,Experienced,Mid-Level,3+,3,Python; C++; ROS; Embedded Systems; Hardware Interfacing; Robotics Control Algorithms; Control Theory; Sensor Integration; LIDAR Sensors; Computer Vision; MATLAB; CAD; SolidWorks; Gazebo; RViz; Simulation Tools; Machine Learning for Robotics,,,
Robotics Engineer,Experienced,Senior-Level,5+,5,Robotics System Design; Control Systems; Robotics Control Algorithms; Sensor Fusion; Embedded Systems Design; Computer Vision; Machine Learning; ROS; Python; C++; MATLAB; Gazebo; RViz; Simulation Tools; CAD; SolidWorks; Hardware Debugging; Project Leadership,,,
SEO Specialist,Fresher,Entry-Level,0-2,0,SEO; On-Page SEO; Off-Page SEO; Technical SEO; Keyword Research; Link Building; Content Optimization; SEO Copywriting; Local SEO; Mobile SEO; Page Speed Optimization; Schema Markup; Google Analytics; Google Search Console; Looker Studio; HTML; CSS; JavaScript,,,
SEO Specialist,Mid-Level,Mid-Level,03-May,3,SEO Strategy; On-Page SEO; Off-Page SEO; Technical SEO; Content Strategy; Keyword Research; Link Building; Backlink Analysis; Local SEO Optimization; Page Speed Optimization; Schema Markup Implementation; Google Analytics GA4; Google Search Console; Looker Studio; Site Architecture Optimization; Voice Search Optimization; Visual Search Optimization,,,
SEO Specialist,Experienced,Senior-Level,05-Aug,5,SEO Strategy; Technical SEO; Content Strategy; Advanced On-Page SEO; Advanced Off-Page SEO; Link Building Strategy; Crawlability Optimization; Indexing Optimization; Site Architecture Optimization; Page Speed Optimization; Schema Markup; Google Analytics GA4; Google Search Console; Looker Studio; Voice Search Optimization; Visual Search Optimization; AI SEO Tools; SEO Analytics; Stakeholder Communication,,,
Sales Executive,Fresher,Entry-Level,0-1,0,Sales; Lead Generation; Customer Engagement; Product Demonstrations; Sales Closing; CRM; Salesforce; HubSpot; Negotiation; Relationship Management; Social Selling; Pipeline Management; Sales Forecasting; Communication; Active Listening,,,
Sales Executive,Experienced,Mid-Level,03-Jan,3,Sales Strategy; Lead Generation; Pipeline Management; Sales Closing; CRM; Salesforce; HubSpot; Relationship Management; Negotiation; Sales Forecasting; Customer Retention; Social Selling; Data-Driven Sales,,,
Sales Executive,Experienced,Senior-Level,05-Oct,5,Sales Strategy; Revenue Growth; Sales Forecasting; Data-Driven Sales; CRM; Salesforce; HubSpot; Relationship Management; Negotiation; Sales Automation; Predictive Analytics; Social Selling; Team Leadership,,,
Security & Network Engineer,Fresher,Entry-Level,0-1,0,TCP/IP; Network Security; Cisco Networking; Firewall Management; IDS/IPS; VPN; Network Monitoring; Wireshark,,,
Security Analyst,Fresher,Entry-Level,0-1,0,Network Security; Cryptography; Risk Assessment; Vulnerability Assessment; Linux; Windows Security; Python; Wireshark; Nessus; Snort; Metasploit; GDPR; ISO 27001,,,
Site Reliability Engineer,Fresher,Entry-Level,0-1,0,Linux; Bash Scripting; Python; Docker; Kubernetes; CI/CD; AWS; Azure; GCP; Prometheus; Grafana; Nagios; Networking; TCP/IP; DNS,,,
Site Reliability Engineer,Experienced,Mid-Level,3+,3,Linux Administration; Bash Scripting; Python; Go; Docker; Kubernetes; CI/CD Pipelines; Jenkins; GitHub Actions; AWS; Azure; GCP; Infrastructure as Code; Terraform; Ansible; Prometheus; Grafana; ELK Stack; Nagios; Networking; Load Balancing; Distributed Systems,,,
Site Reliability Engineer,Experienced,Senior-Level,5+,5,Site Reliability Engineering; Distributed Systems Architecture; Infrastructure Automation; Infrastructure as Code; Terraform; Ansible; Puppet; Docker; Kubernetes; CI/CD Pipelines; Jenkins; GitHub Actions; AWS; Azure; GCP; Monitoring; Prometheus; Grafana; ELK Stack; Splunk; Networking; Load Balancing; CDN; Security Compliance; Python; Go,,,
Software Developer,Fresher,Entry-Level,0–1 year,0,Programming; OOP; Java; Python; C++; JavaScript; TypeScript; HTML; CSS; SQL; Git; Agile; Scrum; Problem Solving; React; Node.js; Django,,,
Software Developer,Experienced,Mid-Level,3–5 years,3,Java; Python; C#; JavaScript; TypeScript; SQL; NoSQL; Git; Docker; CI/CD; AWS; Angular; React; Node.js; Kubernetes; Agile; Scrum,,,
Software Developer,Experienced,Senior-Level,5–7 years,5,Java; Python; C#; JavaScript; SQL; NoSQL; Docker; Kubernetes; CI/CD; AWS; Azure; Microservices; System Design; Agile; Scrum; Team Leadership,,,
Software Engineer,Fresher,Entry-Level,0-2,0,Programming; Data Structures; Algorithms; Java; Python; C++; JavaScript; HTML; CSS; SQL; NoSQL; Git; REST APIs; React; Angular; Node.js; Django; Responsive Design; Postman,,,
Software Engineer,Experienced,Mid-Level,3–5,3,Java; Python; JavaScript; TypeScript; SQL; NoSQL; Git; Docker; Kubernetes; CI/CD; AWS; Angular; React; Node.js; Django; Spring Boot; REST APIs; Debugging; Unit Testing; Agile,,,
Software Engineer,Experienced,Senior-Level,5–7,5,Java; Python; JavaScript; TypeScript; SQL; NoSQL; Git; Docker; Kubernetes; CI/CD; AWS; Microservices; System Design; REST APIs; React; Node.js; Spring Boot; Testing; Agile; Team Leadership; Mentoring,,,
Software Tester (SDET),Fresher,Entry-Level,0-1,0,Manual Testing; Functional Testing; Regression Testing; API Testing; Selenium WebDriver; Postman; Cypress; JMeter; Java; Python; C#; Jenkins; Agile; Scrum,,,
Software Tester (SDET),Experienced,Mid-Level,3+,3,Test Automation; Selenium WebDriver; Cypress; Appium; API Testing; Postman; Performance Testing; JMeter; Java; Python; C#; Jenkins; CI/CD; TestNG; Agile,,,
Software Tester (SDET),Experienced,Senior-Level,5+,5,Test Automation Strategy; Selenium WebDriver; Cypress; Appium; API Testing; Performance Testing; JMeter; CI/CD Pipelines; Jenkins; Azure DevOps; TestNG; Java; Python; C#; Defect Management; QA Metrics; Agile Leadership,,,
Solutions Architect,Fresher,Entry-Level,0-1,0,Cloud Architecture; AWS; Azure; GCP; Docker; Kubernetes; CI/CD; Microservices; Java; Python; Node.js; Security Fundamentals; System Design; Git,,,
Solutions Architect,Experienced,Mid-Level,3+,3,Cloud Architecture; AWS; Azure; GCP; Docker; Kubernetes; CI/CD Pipelines; Terraform; CloudFormation; Microservices; System Design; Security Compliance; Java; Python; Node.js; Stakeholder Management; Project Leadership,,,
Solutions Architect,Experienced,Senior-Level,5+,5,Enterprise Architecture; Cloud Architecture; AWS; Azure; GCP; Kubernetes; Docker; Terraform; CloudFormation; Microservices Architecture; System Design; Security Compliance; Distributed Systems; CI/CD Pipelines; Stakeholder Management; Project Leadership; Technical Leadership,,,
Swift Developer,Fresher,Entry-Level,0,0,Swift; Objective-C; iOS Development; UIKit; SwiftUI; Xcode; Git; REST APIs; Auto Layout; UI/UX Guidelines,,,
System Engineer,Fresher,Entry-Level,0-1,0,Linux; Windows Server; Networking; TCP/IP; Cloud Computing; AWS; Azure; Bash Scripting; Python; VMware; VirtualBox; Monitoring Tools,,,
System Engineer,Experienced,Mid-Level,03-May,3,Linux Administration; Windows Server; Networking; AWS; Azure; Docker; Kubernetes; VMware; Hyper-V; Ansible; Terraform; Python Scripting; CI/CD; Monitoring Tools; Grafana; Nagios; Active Directory,,,
