Title,ExperienceLevel,ExperienceLevel_Category,YearsOfExperience,YearsOfExperience_Min,All_Skills
Digital Marketing Specialist,Experienced,Senior-Level,5-7,5,"AI marketing tools; AI-driven marketing; AI-driven marketing and personalization; AI-driven marketing solutions; AI-driven marketing strategies; AI-driven personalization; AI-driven personalization and marketing automation; AI-powered marketing solutions; AI-powered marketing tools; Advanced SEO and SEM; Advanced analytics (Google Analytics, Tableau, Mixpanel); Advanced digital campaigns; Advanced digital marketing campaigns; Advanced digital marketing strategy; Analytics (GA, Tableau, Mixpanel); Analytics and reporting; Analytics and reporting (GA, Tableau, Mixpanel); Brand and UX strategy; Brand management; Brand management and UX integration; Brand strategy; Brand strategy and UX design; Brand strategy and UX design integration; Brand strategy and UX integration; Budget and ROI management; Budget and ROI optimization; Budget management; Budget management and ROI optimization; Budget management and ROI tracking; Budget optimization; Budget planning; Budget planning and ROI optimization; CRM and automation tools (HubSpot, Marketo, Salesforce); CRM and marketing automation tools; CRM tools (HubSpot, Marketo, Salesforce); CRM tools (HubSpot, Salesforce); Content and social media campaigns; Content and social media marketing; Content creation and social media marketing; Content marketing and social media strategy; Content marketing strategy; Conversion rate optimization; Cross-channel campaign coordination; Cross-channel campaign management; Data-driven campaign optimization; Data-driven campaign strategies; Data-driven decision making; Data-driven decisions; Data-driven marketing; Data-driven marketing decisions; Data-driven optimization; Data-driven strategy implementation; Digital campaign strategy; Digital marketing strategy; Digital strategy development; Email automation; Email automation and personalization; Email automation tools (HubSpot, Marketo); Email marketing automation; Emerging marketing technologies; Emerging marketing technologies (AI-driven personalization); Lead generation; Lead generation and CRM integration; Lead generation and CRM management; Lead generation and CRM tools; Lead generation and nurturing; Marketing analytics (GA, Tableau, Mixpanel); Marketing analytics (Google Analytics, Tableau, Mixpanel); Marketing analytics (Tableau, Mixpanel, GA); Marketing analytics and reporting; Multi-channel campaign coordination; Multi-channel campaign integration; Multi-channel campaign management; Multi-channel marketing strategy; PPC campaign optimization; PPC campaigns management; SEO and SEM optimization; SEO, SEM, PPC; SEO, SEM, PPC campaigns; SEO, SEM, PPC optimization; SEO/SEM/PPC campaign management; SEO/SEM/PPC management; SEO/SEM/PPC optimization; Social media campaigns; Social media marketing; Strategic digital marketing planning; Team leadership; Team leadership and mentoring; Team leadership and mentorship; Team management; UX and UI design integration; UX design integration; UX/UI integration"
Ethical Hacker,Fresher,Entry-Level,0-1,0,"Analytical thinking; Bash scripting; Bash scripting basics; Basic cryptography knowledge; Basic cryptography understanding; Basic knowledge of Nmap, Burp Suite; Basic vulnerability assessment; Communication; Cryptography fundamentals; Ethical awareness; Ethical compliance; Ethical mindset; Familiarity with Metasploit and Burp Suite; Familiarity with Metasploit, Wireshark; Familiarity with Nmap and Wireshark; Familiarity with Nmap, SQLMap; Introduction to penetration testing; Introductory penetration testing; Linux (Kali Linux/Parrot OS) basics; Linux (Kali/Parrot OS) basics; Linux and Windows OS basics; Linux/Windows OS fundamentals; Networking basics; Networking fundamentals; Penetration testing fundamentals; Problem-solving; Python basics; Teamwork; Vulnerability assessment; Vulnerability assessment basics; Vulnerability scanning; Vulnerability scanning basics; Web app security basics; Web application security; Web application security basics; Windows security basics"
Ethical Hacker,Experienced,Mid-Level,3+,3,"Advanced Python, C/C++; Advanced networking; Analytical thinking; Bash, PowerShell scripting; Communication; Compliance and risk assessment; Cryptography, SSL/TLS; Leadership; Linux (Kali, Parrot) expert; Linux (Kali/Parrot) advanced; Malware analysis; Metasploit, Burp Suite, Nmap, Wireshark; Metasploit, Nmap, Burp Suite, SQLMap; Network security expert; Penetration testing; Penetration testing and vulnerability assessment; Problem-solving; Python, C/C++, JavaScript; Reverse engineering; Risk assessment; Vulnerability assessment; Web app security testing; Web application security; Windows security and AD; Windows security and Active Directory"
Ethical Hacker,Experienced,Senior-Level,5+,5,"Advanced Python, C/C++, JavaScript; Advanced network security; Analytical skills; Analytical thinking; Bash, PowerShell; Bash, PowerShell scripting; Communication; Compliance (NIST, ISO); Compliance awareness; Compliance frameworks; Cryptography; Cryptography and SSL/TLS; Cryptography, SSL/TLS; Expert network and web security; Expert network security; Leadership; Linux and Windows OS expert; Linux and Windows expert; Linux and Windows security; Linux and Windows security expert; Linux expert; Linux/Windows OS expert; Linux/Windows expert; Malware analysis; Malware analysis and reverse engineering; Metasploit, Burp Suite, Nmap, SQLMap; Metasploit, Burp Suite, Nmap, SQLMap, Wireshark; Metasploit, Burp Suite, Nmap, Wireshark; Metasploit, Burp Suite, Nmap, Wireshark, SQLMap; Metasploit, Nmap, Burp Suite, SQLMap, Wireshark; Network and application security; Network and application security expert; Network and web security; Network and web security expert; Network penetration testing; Penetration testing; Penetration testing and vulnerability assessment; Problem-solving; Project management; Python, C/C++, JavaScript; Python, C/C++, JavaScript advanced; Reverse engineering; Security frameworks (NIST, ISO); Vulnerability assessment; Web app security; Web application and network security; Web application security; Web security testing; Windows security and AD; Windows security and Active Directory; Windows security expert"
Fintech Engineer,Fresher,Entry-Level,0-1,0,API integration basics; API integration fundamentals; AWS basics; AWS/Azure basics; Adaptability; Agility; Azure basics; Blockchain basics; Blockchain fundamentals; Cloud basics (AWS/Azure); Collaboration; Communication; Cybersecurity awareness; Cybersecurity basics; Cybersecurity fundamentals; Data analysis basics; Financial domain knowledge; Financial knowledge basics; Financial products knowledge; Financial products understanding; Intro to ML; Intro to machine learning; Introductory ML; Introductory data science; Introductory machine learning; JavaScript basics; Machine learning basics; Problem-solving; Python basics; SQL basics; SQL fundamentals; Teamwork
Fintech Engineer,Experienced,Mid-Level,3+,3,"API architecture; API architecture and microservices; AWS & Azure cloud; Blockchain and DLT; Blockchain development; Blockchain implementation; Cloud computing (AWS, Azure); Cloud platforms (AWS, Azure); Collaboration; Cross-functional collaboration; Cybersecurity compliance; Cybersecurity expertise; DevOps; DevOps in fintech; Financial analysis; Financial analysis and modeling; Financial modeling; Innovation management; JavaScript advanced; Leadership; ML analytics; Machine learning predictive analytics; Microservices design; Predictive modeling and automation; Project leadership; Python advanced; Quantitative modeling; SQL advanced; Smart contract development; Smart contracts; Stakeholder management; Team leadership"
Fintech Engineer,Experienced,Senior-Level,5+,5,"API & microservices architecture; API & microservices design; API and microservices architecture; API architecture; API design; API design and microservices; Blockchain & smart contracts; Blockchain and DLT; Blockchain and smart contracts; Blockchain development; Cloud computing (AWS, Azure); Cloud computing AWS/Azure; Cloud platforms (AWS, Azure); Cloud platforms AWS/Azure; Cross-functional collaboration; Cross-functional team collaboration; Cybersecurity; Cybersecurity and compliance; Cybersecurity compliance; Cybersecurity expertise; DevOps; DevOps automation; DevOps in fintech; DevOps practices; Financial analysis; Financial analysis and modeling; Financial data analysis; Financial modeling and analysis; Financial modeling and forecasting; Innovation; Innovation management; Innovation strategies; JavaScript advanced; Leadership; Machine learning and AI analytics; Machine learning for analytics; Machine learning predictive analytics; Machine learning predictive modeling; Microservices architecture; Microservices design; Project management; Python advanced; Quantitative modeling; SQL advanced; Smart contracts; Smart contracts development; Smart contracts implementation; Stakeholder collaboration; Stakeholder management; Strategic planning; Team leadership; Team management"
Frontend Developer,Entry-Level,Entry-Level,0–1 year,0,Angular basics; Bootstrap; Browser Developer Tools; CSS; CSS3; Git; HTML; HTML5; JavaScript; JavaScript (ES6+); React; React basics; Tailwind CSS; Vue.js; Vue.js basics
Frontend Developer,Mid-Senior Level,Mid-Level,3–6 years,3,"Advanced React (Hooks, Redux); Angular; CI/CD; CSS; CSS3; Git; HTML; HTML5; JavaScript; JavaScript (ES6+); Lazy loading; Performance optimization; Performance tuning; React/Redux; Unit & E2E testing; Unit/Integration/E2E testing; Vue.js"
Frontend Developer,Senior-Level,Senior-Level,5+ years,5,Advanced React; Angular; CI/CD; CSS; Git; HTML; JavaScript; JavaScript (ES6+); Lazy loading; Performance optimization; React/Redux; Testing automation; Unit & E2E testing; Unit/Integration/E2E testing; Vue.js
Full Stack Developer,Fresher,Entry-Level,0–1 year,0,Agile; Angular; CI/CD; CSS; CSS3; Cloud Platforms; Django; Django/Flask; Docker; Flask; Git; HTML; HTML5; JavaScript; JavaScript (ES6+); Kubernetes; MongoDB; MySQL; NoSQL; Node.js; PostgreSQL; Python (Django/Flask); RESTful API design; React; SQL; Vue.js
Full Stack Developer,Experienced,Mid-Level,3–5 years,3,Agile; Angular; CI/CD; CSS; CSS3; Cloud Platforms; Django; Docker; Flask; Git; HTML; HTML5; JavaScript; JavaScript (ES6+); Kubernetes; Microservices; MongoDB; MySQL; NoSQL; Node.js; PostgreSQL; RESTful API design; RESTful APIs; React; Redux; SQL; Serverless; TypeScript; Vue.js; Web Security
Game Developer,Fresher,Entry-Level,0-1,0,Adaptability; Animation basics; Animation fundamentals; C# basics; C++ basics; Communication; Creativity; Debugging basics; DirectX basics; DirectX/OpenGL basics; Game mechanics basics; Game mechanics fundamentals; Git basics; Java basics; Mobile game awareness; Mobile/console development basics; Mobile/console platform awareness; OpenGL basics; Physics and animation basics; Physics and collision basics; Physics basics; Python basics; Teamwork; Unity basics; Unreal Engine basics
Game Developer,Experienced,Mid-Level,3+,3,AI programming; C# advanced; C++ advanced; Cross-platform development; Debugging and profiling; Gameplay systems; Gameplay systems development; Godot basics; Java advanced; Leadership; Multiplayer networking; Performance optimization; Physics; Physics and collision handling; Project management; Python advanced; Shader programming HLSL/GLSL; Team collaboration; Testing frameworks; Unity expert; Unreal Engine expert
Game Developer,Experienced,Senior-Level,5+,5,AI and gameplay systems; AI programming; AI/gameplay systems; Advanced AI and gameplay; Advanced AI and gameplay systems; Advanced AI/gameplay systems; Advanced gameplay and AI; Advanced gameplay and AI systems; Advanced gameplay systems; C# expert; C++ expert; Cross-platform deployment; Cross-platform development; Debugging and profiling; Gameplay systems and AI; Godot basics; Graphics and performance optimization; Graphics optimization; Java advanced; Leadership; Multiplayer networking; Performance profiling; Physics; Physics and collision handling; Physics and collision systems; Physics simulation; Project management; Python advanced; Shader programming; Shader programming HLSL/GLSL; Team collaboration; Testing and debugging; Testing frameworks; Testing/debugging; Unity expert; Unreal Engine expert
Graphic Designer,Fresher,Entry-Level,0-1,0,Adaptability; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Adobe XD; After Effects; Basic Figma; Basic HTML/CSS; Color Theory; Communication; Creativity; Figma; Figma Basics; Illustrator; InDesign; Motion Graphics; Photoshop; Time Management; Typography; Web Design; Web Design Basics
Graphic Designer,Mid-Level,Mid-Level,3-6,3,Adobe Photoshop; Adobe XD; After Effects; Color Theory; Figma; Illustrator; InDesign; Motion Graphics; Photoshop; Typography; Web Design; Web and Mobile Design
Graphic Designer,Experienced,Senior-Level,5-10,5,3D Design; 3D Design Basics; AR/VR Design; Adobe XD; Advanced Adobe Photoshop; Advanced Photoshop; After Effects; Color Theory; Figma; Illustrator; InDesign; Motion Graphics; Typography
Hybrid Cloud Architect,Experienced,Senior-Level,8,8,AWS; Azure; Hybrid cloud design; Networking; Python; Terraform
Incident Response Analyst,Experienced,Senior-Level,5-9,5,Forensics; Incident Response; Malware Analysis; QRadar; Splunk; Threat Hunting
Information Security Analyst,Fresher,Entry-Level,0-1,0,Firewall Basics; GDPR Basics; Nessus; Python; Snort
Information Security Analyst,Experienced,Mid-Level,3-5,3,Incident Response; Python; QRadar; Splunk; Threat Intelligence; Vulnerability Management
Interaction Designer,Fresher,Entry-Level,0-1,0,Adobe XD; Figma; Prototyping Basics; Sketch; Typography; User Research Fundamentals
Interaction Designer,Experienced,Senior-Level,6-8,6,After Effects; Figma; Micro-Interactions; Principle; Prototyping
IoT Engineer,Fresher,Entry-Level,0-1,0,AWS IoT basics; Actuator integration; Agile awareness; Agile methodology awareness; Azure IoT basics; Bluetooth; Bluetooth and Zigbee protocols; C basics; C++ basics; Cloud IoT basics; CoAP; CoAP basics; Communication; Embedded firmware understanding; Embedded systems design; Embedded systems development; Google Cloud IoT basics; IPv6 basics; Java basics; LoRa basics; MQTT; MQTT basics; Power BI basics; Problem-solving; Python basics; Sensor and actuator integration; Sensor integration; TCP/IP basics; Tableau basics; Teamwork; Zigbee; Zigbee basics
IoT Engineer,Experienced,Mid-Level,3+,3,"AWS IoT advanced; AWS, Azure, GCP IoT; Advanced C programming; Azure IoT advanced; C advanced; C++ advanced; CI/CD pipelines; Edge computing; Embedded firmware design; Embedded firmware development; GCP IoT advanced; IoT architecture; IoT architecture design; Java advanced; Leadership; MQTT, CoAP, LoRaWAN, NB-IoT; Machine learning integration; Network optimization; Network security; Project management; Python advanced; Real-time analytics; Real-time data analytics; Sensor and actuator integration; TCP/IP, IPv6; Team collaboration"
IoT Engineer,Experienced,Senior-Level,5+,5,"AWS, Azure, GCP IoT; Advanced C, C++; Advanced sensor integration; C advanced; C++ advanced; C, C++ advanced; C, C++ expert; CI/CD; CI/CD automation; CI/CD pipelines; Cloud platforms (AWS, Azure, GCP); Cloud platforms AWS/Azure/GCP; Cross-functional collaboration; Cross-team collaboration; Data analytics; Data pipelines and analytics; Edge computing; Embedded firmware; Embedded firmware and hardware interfacing; Embedded firmware development; Embedded firmware optimization; IoT architecture; IoT architecture and deployment; IoT architecture and design; IoT architecture design; IoT system architecture; Java advanced; Leadership; MQTT, CoAP, LoRaWAN, NB-IoT; Machine learning; Machine learning integration; Network security; Network security and optimization; Project execution; Project management; Project strategy; Python advanced; Python, Java; Real-time analytics; Real-time analytics and ML; Real-time analytics and ML integration; Real-time data analytics; Sensor and actuator integration; Sensor fusion and actuator control; Sensor fusion and actuator integration; Sensor integration and actuator management; Strategic planning; Team collaboration; Team management"
Java Developer,Fresher,Entry-Level,0,0,Advanced Java; Basic REST API knowledge; CSS; Collections Framework; Concurrency Basics; Core Java; Database Basics; Database Management; Docker; Encapsulation; Exception Handling; File Handling; Git; Gradle; HTML; HTML/CSS; Hibernate; Hibernate Basics; Inheritance; JDBC; JSP; JUnit; JUnit Basics; Java APIs; Java Collections; Java I/O; JavaScript; JavaScript Basics; Kubernetes; Maven; Microservices; Multithreading Basics; Networking Basics; OOP; Polymorphism; Problem Solving; REST APIs; SQL; SQL (MySQL/PostgreSQL); SQL Basics; SQL Queries; Servlets; Spring Basics; Spring Boot; Spring Framework Basics; Team Collaboration; TestNG; TestNG Basics; Version Control (Git)
Java Developer,Experienced,Mid-Level,3,3,Agile; CI/CD; Concurrency; Debugging; Docker; Gradle; Hibernate; JPA; JUnit; JVM Internals; Jenkins; Kafka; Maven; Mentoring; Microservices; Mockito; Performance Tuning; Selenium; Spring Boot; Team Collaboration; Version Control (Git/SVN)
Java Developer,Experienced,Senior-Level,5,5,Advanced SQL; Angular/React; Cassandra; Database Tuning; Kubernetes; Leadership; Microservices; MongoDB; NoSQL; Performance Optimization; RESTful APIs; SOAP APIs; SQL; Spring Boot; System Design
JavaScript Developer,Fresher,Entry-Level,0-1,0,AJAX; AJAX/JSON; Adaptability; Angular basics; Async programming; CSS3; CSS3 basics; Communication; Core JavaScript ES6+; Git; Git basics; HTML5; HTML5 basics; JSON; JavaScript ES6+; Problem-solving; REST API basics; REST API integration; REST API knowledge; React; React basics; Responsive design; Team collaboration; Teamwork; Vue.js basics
JavaScript Developer,Experienced,Mid-Level,3+,3,"Advanced JavaScript; Angular; CI/CD; CI/CD basics; Docker; Docker basics; Express.js; GraphQL; Jest, Cypress, Mocha; Jest, Mocha, Cypress; Leadership; Node.js; Project management; REST API development; REST APIs; React; Redux, Vuex; Redux/Vuex; Team collaboration; TypeScript; Vue.js; Webpack, Babel; Webpack, Babel, npm, Yarn; npm, Yarn"
JavaScript Developer,Experienced,Senior-Level,5+,5,"Advanced JavaScript; Advanced performance optimization; Angular; CI/CD; CI/CD pipelines; Cross-team collaboration; Docker; Docker, CI/CD; Express.js; GraphQL; JavaScript advanced; JavaScript expert; Jest, Cypress; Jest, Cypress, Mocha; Jest, Mocha, Cypress; Leadership; Node.js; Performance optimization; Performance tuning; Project management; REST API development; REST API, GraphQL; REST API/GraphQL; REST APIs, GraphQL; React; React, Angular, Vue.js; Redux, Vuex; Redux/Vuex; Team management; Testing frameworks (Jest, Cypress, Mocha); Testing frameworks (Jest, Mocha, Cypress); Testing frameworks: Jest, Mocha, Cypress; TypeScript; Vue.js; Web performance optimization; Webpack, Babel; npm, Yarn"
Machine Learning Engineer,Fresher,Entry-Level,0-1,0,"Basic ML models: decision trees, K-means, logistic regression; Data preprocessing; Data visualization: Matplotlib, Seaborn; Feature engineering; Git/GitHub; Java; ML basics: classification, regression, clustering, decision trees; ML frameworks: Scikit-learn, TensorFlow, PyTorch, Keras; ML fundamentals: classification, regression, clustering, supervised/unsupervised learning; ML fundamentals: regression, classification, clustering, decision trees; ML fundamentals: supervised/unsupervised learning, classification, regression, clustering; ML fundamentals: supervised/unsupervised learning, regression, classification, clustering, decision trees; ML libraries: Scikit-learn, TensorFlow, PyTorch; ML libraries: Scikit-learn, TensorFlow, PyTorch, Keras; Matplotlib; MongoDB; MySQL; NumPy; Pandas; Python; R; SQL; Seaborn; Statistics and probability; Statistics: probability, linear algebra; Visualization: Matplotlib, Seaborn"
Machine Learning Engineer,Mid-Senior,Mid-Level,3-6,3,"Big data: Hadoop, Spark; Feature engineering and ETL automation; Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced), ONNX; Java; ML/DL: supervised/unsupervised learning, deep learning, reinforcement learning, NLP, computer vision, transfer learning; MLOps: CI/CD pipelines, model monitoring, cloud deployment (AWS/GCP/Azure); Python (advanced); R; SQL"
Machine Learning Engineer,Senior,Senior-Level,5-7,5,"AWS; Advanced ML/DL: deep learning, NLP, reinforcement learning, computer vision, transfer learning; Advanced ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning; Big data: Hadoop, Spark; Big data: Spark, Hadoop; Classification; ETL automation; Ensemble methods; Feature engineering; Feature engineering, ETL automation; Feature engineering, ETL pipelines; Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced); Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced), ONNX; GCP; Hadoop; Java; Java/Scala; ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning; MLOps: CI/CD pipelines, model monitoring, cloud deployment (AWS/GCP/Azure); MLOps: CI/CD, model monitoring, cloud deployment (AWS/GCP/Azure); MLOps: CI/CD, monitoring, cloud deployment (AWS/GCP/Azure); NLP; PowerBI; Python; Python (advanced); R; Regression; Reinforcement Learning; SQL; Scala; Spark; Tableau"
Machine Learning Scientist,Senior,Senior-Level,5+,5,AWS; Azure; Classification; Deep Learning; ETL automation; ETL pipelines; Ensemble methods; Feature engineering; Hadoop; Java/Scala; NLP; PowerBI; Python; R; Regression; Reinforcement Learning; SQL; Spark; Tableau
Market Research Analyst,Fresher,Entry-Level,0-1,0,Attention to Detail; Basic Statistical Analysis; Communication; Competitive Analysis; Consumer Behavior Analysis; Critical Thinking; Data Analysis Basics; Data Collection; Data Storytelling; Data Visualization Basics; Excel; Excel Advanced Functions; Market Segmentation; Predictive Analytics; Predictive Modeling; Presentation Skills; Python; Python Basics; Qualitative Research; R; Regression; Regression Analysis; Report Writing; SPSS; Statistical Analysis; Survey Design; Tableau; Time Management
Market Research Analyst,Experienced,Senior-Level,5-10,5,Advanced Analytics; Advanced Data Analysis; Advanced Statistical Analysis; Business Strategy; Competitive Intelligence; Forecasting; Market Segmentation; Power BI; Predictive Modeling; Python; R; SAS; SQL; Tableau
Marketing Specialist,Fresher,Entry-Level,0-1,0,"Adobe Creative Suite basics; Blogging; Canva and Adobe Creative Suite; Canva and WordPress basics; Collaboration; Collaboration and communication; Content creation; Content marketing; Copywriting; Creative design tools; Data analysis basics; Digital marketing fundamentals; Email campaigns; Email marketing basics; Email marketing tools; Event coordination; Event management; Google Analytics; Google Analytics basics; Market research; Marketing analytics; Marketing automation; Marketing automation tools (Mailchimp, HubSpot); PPC ads; PPC campaigns; SEM basics; SEO basics; SEO, SEM, PPC; SEO/SEM; Social media basics; Social media management; Social media marketing; Social media platforms; Team collaboration; Team communication; Time management; Video production basics"
Marketing Specialist,Experienced,Mid-Level,3-5,3,"Advanced digital marketing strategies; Analytics (Google Analytics, Tableau); Brand management; Budget management; Content creation; Content marketing; Data-driven decision making; Digital strategy development; Email marketing automation; Lead generation; Lead nurturing; Marketing analytics and reporting; Multi-channel campaign planning; Multi-channel marketing campaigns; PPC campaigns management; SEO, SEM, PPC expertise; SEO/SEM optimization; Social media management; Social media strategy; Team collaboration"
Marketing Specialist,Experienced,Senior-Level,5-7,5,"AI-driven marketing tools; AI-driven personalization; AI-powered marketing personalization; AI-powered marketing tools; Advanced SEO/SEM; Advanced SEO/SEM/PPC; Advanced digital marketing; Advanced marketing strategy; Analytics (GA, Tableau); Analytics and ROI optimization; Analytics and ROI reporting; Analytics and reporting; Brand management; Budget allocation; Budget and ROI analysis; Budget and ROI management; Budget management; Budget optimization; Budget planning and optimization; Campaign coordination; Campaign management; Campaign optimization; Content and social media marketing; Content creation; Content creation and social media strategy; Content creation and strategy; Content marketing; Content marketing and creation; Data analysis (Google Analytics, Tableau); Data analytics and reporting; Data-driven analytics; Digital campaigns management; Digital marketing campaigns; Digital marketing strategy; Email automation; Email campaigns; Email marketing; Email marketing and automation; Email marketing automation; Emerging marketing technologies; Emerging marketing technologies (AI tools, personalization); Emerging technologies in marketing; Lead generation; Lead generation and multi-channel campaigns; Lead generation campaigns; Leadership and team management; Marketing analytics; Marketing automation; Marketing strategy; Marketing strategy and planning; Multi-channel campaign management; Multi-channel campaigns; PPC campaigns; PPC management; SEO, SEM, PPC; SEO/SEM; SEO/SEM and PPC campaigns; SEO/SEM optimization; SEO/SEM/PPC; SEO/SEM/PPC campaigns; SEO/SEM/PPC management; SEO/SEM/PPC optimization; Social media management; Social media marketing; Social media strategy; Strategic marketing planning; Team coordination; Team leadership; Team leadership and collaboration"
Multi-Cloud Architect,Experienced,Senior-Level,9,9,AWS; Azure; GCP; Kubernetes; Leadership; Microservices architecture; Terraform
Network Analyst,Fresher,Entry-Level,0-2,0,DNS; Nagios; Subnetting; TCP/IP; Wireshark
Network Automation Engineer,Experienced,Mid-Level,3-5,3,Ansible; Automation; Bash; Cisco IOS; Python
Network Engineer,Fresher,Entry-Level,0-1,0,Bash Basics; Basic Routing; Cisco IOS; Cisco Routers; Cisco Switches; DHCP; DNS; Firewalls Basics; IDS/IPS Intro; Incident Management; LAN/WAN; Nagios; Nagios Basics; Network Monitoring; Network Troubleshooting; Python Basics; Python Scripting Basics; SolarWinds; Subnetting; Switching; TCP/IP; VPN Basics; Wireshark
Network Engineer,Experienced,Mid-Level,3-5,3,BGP; Cisco Nexus; Cisco Prime; LAN/WAN Design; MPLS; Nagios; OSPF; Python Automation; QoS; SolarWinds
Network Engineer,Experienced,Senior-Level,5-8,5,Architecture Design; BGP; Cisco ASA; Cisco Nexus; Cisco Routers; EIGRP; F5 Load Balancer; MPLS; Nagios; Palo Alto; Palo Alto Firewalls; Project Management; QoS; SD-WAN; SIP; Team Leadership; VoIP; Zero Trust Security
Network Security Engineer,Experienced,Mid-Level,4-6,4,Cisco ASA; Cryptography; Firewalls; IDS/IPS; VPN
Network Support Engineer,Fresher,Entry-Level,0-1,0,BGP (Intro); Firewall Basics; OSPF; Routing Basics; SolarWinds; VPN Setup
Operations Manager,Fresher,Entry-Level,0-1,0,Adaptability; Basic ERP/CRM Knowledge; Basic Team Coordination; Basic Workflow Management; Collaboration; Communication; Data Reporting Basics; ERP/CRM Basics; Observation; Problem-Solving; Process Awareness; Process Observation; Report Preparation; Reporting; Team Coordination; Time Management; Workflow Awareness; Workflow Observation
Operations Manager,Mid-Level,Mid-Level,3-5,3,Budget Management; Budget Monitoring; Budget Oversight; Cross-Functional Collaboration; Cross-Functional Coordination; Data Analysis; ERP Systems; ERP/CRM Tools; KPI Monitoring; KPI Reporting; KPI Tracking; Problem Solving; Process Improvement; Process Optimization; Resource Allocation; Resource Planning; Scheduling; Team Leadership; Team Management; Workflow Automation; Workflow Optimization
Operations Manager,Experienced,Senior-Level,5-8,5,Budget Management; Budgeting; Data Analysis; ERP/CRM Systems; ERP/CRM Tools; Financial Reporting; KPI Monitoring; KPI Tracking; Lean Management; Process Automation; Process Improvement; Process Optimization; Resource Allocation; Resource Optimization; Six Sigma; Staff Development; Strategic Planning; Team Leadership
Product Designer,Fresher,Entry-Level,0-1 Years,0,A/B Testing; Adobe Illustrator; Adobe Photoshop; Adobe XD; Basic JavaScript; CSS; Color Theory; Creativity; Design Systems; Figma; Front-End Collaboration; HTML; Information Architecture Basics; JavaScript; Prototyping; Prototyping Basics; Responsive Design; Sketch; Teamwork; Typography; User Flows; User Research Basics; Wireframing
Product Designer,Experienced,Mid-Level,3-5 Years,3,A/B Testing; Accessibility; Adobe Creative Suite; Adobe Illustrator; Adobe XD; Agile; Agile Methods; CSS; Data-Driven UX; Design Systems; Design Thinking; Figma; HTML; InVision; Marvel; Prototyping; Sketch; Stakeholder Management; Usability Testing; User Testing
Product Designer,Experienced,Senior-Level,5+ Years,5,Agile Methods; Data Analytics; Design Systems; Figma; InVision; Leadership; Sketch
Product Manager,Fresher,Entry-Level,0-1,0,"Adaptability; Agile (Scrum, Kanban basics); Agile knowledge; Agile methodologies (Scrum, Kanban); Agile methodology knowledge; Basic data analytics; Basic product management concepts; Communication; Customer-centric design awareness; Data analysis (Excel, Google Analytics); Data analysis (Excel, SQL basics); Data analysis and metrics interpretation; Data analytics fundamentals; Market research; Market research and competitor analysis; Market research fundamentals; Problem-solving; Product lifecycle basics; Product lifecycle understanding; Product strategy basics; Scrum and Kanban basics; Teamwork; Tools: Confluence, Figma; Tools: Figma, JIRA, Confluence; Tools: JIRA, Confluence; Tools: JIRA, Confluence, Figma basics; Tools: JIRA, Figma; UX awareness; UX principles awareness; UX/UI awareness"
Product Manager,Experienced,Mid-Level,3-5,3,"A/B testing; Advanced data analysis; Agile facilitation; Agile leadership; Backlog grooming; Cross-functional team leadership; Data-driven decision making; Metrics-driven growth optimization; Product vision and roadmap development; Product vision and strategy; Roadmap development; Sprint planning; Stakeholder management; Strategic planning; Tools: JIRA, Confluence, Figma, Mixpanel, Tableau; Tools: JIRA, Confluence, Tableau, Mixpanel; UX research integration; User research and UX integration"
Product Manager,Experienced,Senior-Level,5-7,5,"Advanced analytics and A/B testing; Agile facilitation; Agile leadership; Agile methodologies; Backlog grooming; Cross-functional collaboration; Cross-functional leadership; Data analysis and A/B testing; Data analysis and experimentation; Data-driven decision making; Metrics-driven growth; Metrics-driven product growth; Performance optimization; Performance tracking; Product vision; Product vision and roadmap development; Product vision and roadmap planning; Product vision and strategic planning; Product vision and strategy; Resource allocation; Resource prioritization; Roadmap development and execution; Roadmap execution; Stakeholder communication; Stakeholder engagement; Stakeholder management; Strategic planning; Tools: Figma, Mixpanel, Tableau, GA; Tools: JIRA, Confluence, Figma, Mixpanel, Tableau; Tools: JIRA, Confluence, Mixpanel, GA, Tableau; Tools: JIRA, Confluence, Tableau, Figma; Tools: JIRA, Figma, Mixpanel, Tableau; UX research and integration; UX research integration; User experience research; User research integration"
